Client Count CSCI B-03
Generated: 2015-Nov-03, 01:00:06 GMT+00:00
Report By: Floor Area
Connection Protocol/SSID: All Clients/All SSIDs
Reporting Period: Last 1 hour
 
Total Client Count
Total Count,Event Time,Associated Client Count,Authenticated Client Count
total,Mon Nov 02 23:33:04 GMT+00:00 2015,0,0
total,Mon Nov 02 23:38:12 GMT+00:00 2015,0,0
total,Mon Nov 02 23:43:02 GMT+00:00 2015,0,0
total,Mon Nov 02 23:48:04 GMT+00:00 2015,0,0
total,Mon Nov 02 23:53:06 GMT+00:00 2015,0,0
total,Mon Nov 02 23:58:05 GMT+00:00 2015,0,0
total,Tue Nov 03 00:03:14 GMT+00:00 2015,0,0
total,Tue Nov 03 00:08:28 GMT+00:00 2015,0,0
total,Tue Nov 03 00:13:19 GMT+00:00 2015,0,0
total,Tue Nov 03 00:18:22 GMT+00:00 2015,0,0
total,Tue Nov 03 00:24:42 GMT+00:00 2015,0,0
total,Tue Nov 03 00:28:31 GMT+00:00 2015,0,0
Client Count
Key,Event Time,Associated Client Count,Authenticated Client Count
Belfield > Computer Science > B-003,Mon Nov 02 23:33:04 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Mon Nov 02 23:38:12 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Mon Nov 02 23:43:02 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Mon Nov 02 23:48:04 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Mon Nov 02 23:53:06 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Mon Nov 02 23:58:05 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Tue Nov 03 00:03:14 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Tue Nov 03 00:08:28 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Tue Nov 03 00:13:19 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Tue Nov 03 00:18:22 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Tue Nov 03 00:24:42 GMT+00:00 2015,0,0
Belfield > Computer Science > B-003,Tue Nov 03 00:28:31 GMT+00:00 2015,0,0
