Client Count CSCI B-04
Generated: 2015-Nov-06, 13:30:01 GMT+00:00
Report By: Floor Area
Connection Protocol/SSID: All Clients/All SSIDs
Reporting Period: Last 1 hour
 
Total Client Count
Total Count,Event Time,Associated Client Count,Authenticated Client Count
total,Fri Nov 06 12:34:01 GMT+00:00 2015,2,2
total,Fri Nov 06 12:39:03 GMT+00:00 2015,1,1
total,Fri Nov 06 12:44:11 GMT+00:00 2015,2,2
total,Fri Nov 06 12:49:32 GMT+00:00 2015,3,3
total,Fri Nov 06 12:54:37 GMT+00:00 2015,9,9
total,Fri Nov 06 12:59:54 GMT+00:00 2015,27,27
total,Fri Nov 06 13:05:32 GMT+00:00 2015,48,48
total,Fri Nov 06 13:09:54 GMT+00:00 2015,53,53
total,Fri Nov 06 13:14:48 GMT+00:00 2015,46,46
total,Fri Nov 06 13:19:39 GMT+00:00 2015,43,43
total,Fri Nov 06 13:24:45 GMT+00:00 2015,47,47
Client Count
Key,Event Time,Associated Client Count,Authenticated Client Count
Belfield > Computer Science > B-004,Fri Nov 06 12:34:01 GMT+00:00 2015,2,2
Belfield > Computer Science > B-004,Fri Nov 06 12:39:03 GMT+00:00 2015,1,1
Belfield > Computer Science > B-004,Fri Nov 06 12:44:11 GMT+00:00 2015,2,2
Belfield > Computer Science > B-004,Fri Nov 06 12:49:32 GMT+00:00 2015,3,3
Belfield > Computer Science > B-004,Fri Nov 06 12:54:37 GMT+00:00 2015,9,9
Belfield > Computer Science > B-004,Fri Nov 06 12:59:54 GMT+00:00 2015,27,27
Belfield > Computer Science > B-004,Fri Nov 06 13:05:32 GMT+00:00 2015,48,48
Belfield > Computer Science > B-004,Fri Nov 06 13:09:54 GMT+00:00 2015,53,53
Belfield > Computer Science > B-004,Fri Nov 06 13:14:48 GMT+00:00 2015,46,46
Belfield > Computer Science > B-004,Fri Nov 06 13:19:39 GMT+00:00 2015,43,43
Belfield > Computer Science > B-004,Fri Nov 06 13:24:45 GMT+00:00 2015,47,47
