Client Count CSCI B-02
Generated: 2015-Nov-05, 09:30:00 GMT+00:00
Report By: Floor Area
Connection Protocol/SSID: All Clients/All SSIDs
Reporting Period: Last 1 hour
 
Total Client Count
Total Count,Event Time,Associated Client Count,Authenticated Client Count
total,Thu Nov 05 08:30:38 GMT+00:00 2015,1,1
total,Thu Nov 05 08:35:52 GMT+00:00 2015,3,3
total,Thu Nov 05 08:40:58 GMT+00:00 2015,3,3
total,Thu Nov 05 08:46:11 GMT+00:00 2015,3,3
total,Thu Nov 05 08:51:31 GMT+00:00 2015,4,4
total,Thu Nov 05 08:56:51 GMT+00:00 2015,4,4
total,Thu Nov 05 09:02:10 GMT+00:00 2015,2,2
total,Thu Nov 05 09:07:06 GMT+00:00 2015,0,0
total,Thu Nov 05 09:11:55 GMT+00:00 2015,0,0
total,Thu Nov 05 09:16:45 GMT+00:00 2015,0,0
total,Thu Nov 05 09:21:46 GMT+00:00 2015,0,0
total,Thu Nov 05 09:26:50 GMT+00:00 2015,2,2
Client Count
Key,Event Time,Associated Client Count,Authenticated Client Count
Belfield > Computer Science > B-002,Thu Nov 05 08:30:38 GMT+00:00 2015,1,1
Belfield > Computer Science > B-002,Thu Nov 05 08:35:52 GMT+00:00 2015,3,3
Belfield > Computer Science > B-002,Thu Nov 05 08:40:58 GMT+00:00 2015,3,3
Belfield > Computer Science > B-002,Thu Nov 05 08:46:11 GMT+00:00 2015,3,3
Belfield > Computer Science > B-002,Thu Nov 05 08:51:31 GMT+00:00 2015,4,4
Belfield > Computer Science > B-002,Thu Nov 05 08:56:51 GMT+00:00 2015,4,4
Belfield > Computer Science > B-002,Thu Nov 05 09:02:10 GMT+00:00 2015,2,2
Belfield > Computer Science > B-002,Thu Nov 05 09:07:06 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Thu Nov 05 09:11:55 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Thu Nov 05 09:16:45 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Thu Nov 05 09:21:46 GMT+00:00 2015,0,0
Belfield > Computer Science > B-002,Thu Nov 05 09:26:50 GMT+00:00 2015,2,2
