Client Count CSCI B-02
Generated: 2015-Nov-03, 16:30:00 GMT+00:00
Report By: Floor Area
Connection Protocol/SSID: All Clients/All SSIDs
Reporting Period: Last 1 hour
 
Total Client Count
Total Count,Event Time,Associated Client Count,Authenticated Client Count
total,Tue Nov 03 15:34:49 GMT+00:00 2015,35,35
total,Tue Nov 03 15:39:52 GMT+00:00 2015,34,33
total,Tue Nov 03 15:43:21 GMT+00:00 2015,34,33
total,Tue Nov 03 15:50:39 GMT+00:00 2015,29,29
total,Tue Nov 03 15:55:40 GMT+00:00 2015,32,32
total,Tue Nov 03 16:00:49 GMT+00:00 2015,34,34
total,Tue Nov 03 16:05:49 GMT+00:00 2015,31,31
total,Tue Nov 03 16:10:53 GMT+00:00 2015,32,30
total,Tue Nov 03 16:15:24 GMT+00:00 2015,36,35
total,Tue Nov 03 16:20:35 GMT+00:00 2015,40,39
total,Tue Nov 03 16:25:26 GMT+00:00 2015,41,40
Client Count
Key,Event Time,Associated Client Count,Authenticated Client Count
Belfield > Computer Science > B-002,Tue Nov 03 15:34:49 GMT+00:00 2015,35,35
Belfield > Computer Science > B-002,Tue Nov 03 15:39:52 GMT+00:00 2015,34,33
Belfield > Computer Science > B-002,Tue Nov 03 15:43:21 GMT+00:00 2015,34,33
Belfield > Computer Science > B-002,Tue Nov 03 15:50:39 GMT+00:00 2015,29,29
Belfield > Computer Science > B-002,Tue Nov 03 15:55:40 GMT+00:00 2015,32,32
Belfield > Computer Science > B-002,Tue Nov 03 16:00:49 GMT+00:00 2015,34,34
Belfield > Computer Science > B-002,Tue Nov 03 16:05:49 GMT+00:00 2015,31,31
Belfield > Computer Science > B-002,Tue Nov 03 16:10:53 GMT+00:00 2015,32,30
Belfield > Computer Science > B-002,Tue Nov 03 16:15:24 GMT+00:00 2015,36,35
Belfield > Computer Science > B-002,Tue Nov 03 16:20:35 GMT+00:00 2015,40,39
Belfield > Computer Science > B-002,Tue Nov 03 16:25:26 GMT+00:00 2015,41,40
